Assembly Accession	Organism Name	Organism Taxonomic ID
GCA_018104995.1	Cairina moschata	8855
GCA_927399485.1	Calamotropha paludella	1371681
GCA_039654755.1	Calcarius lapponicus	135424
GCA_013387185.1	Caligus rogercresseyi	217165
GCA_964340385.1	Calliactis parasitica	6114
GCA_949752705.1	Callimorpha dominula	938182
GCA_020233015.1	Callinectes sapidus	6763
GCA_951812925.1	Calliopum simillimum	1824995
GCF_958450345.1	Calliphora vicina	7373
GCA_942486065.2	Calliphora vomitoria	27454
GCA_022606455.1	Callitettix versicolor	533009
GCF_011100555.1	Callithrix jacchus	9483
GCA_964204845.1	Callogorgia gracilis	1309697
GCA_040182625.1	Callosobruchus maculatus	64391
GCF_036013445.1	Caloenas nicobarica	187106
GCA_964196065.2	Calonectris borealis	1323832
GCA_964276575.1	Calophasia lunula	214073
GCA_964059645.1	Calvia quattuordecimguttata	419956
GCF_003957555.1	Calypte anna	9244
GCF_901933205.1	Camarhynchus parvulus	87175
GCF_036321535.1	Camelus dromedarius	9838
GCF_009834535.1	Camelus ferus	419612
GCA_912999815.1	Campaea margaritaria	934813
GCA_964058745.1	Campiglossa producta	2691756
GCA_948107755.1	Campoletis raptor	2922060
GCA_958496255.1	Camptogramma bilineatum	934908
GCA_041682235.1	Cancer borealis	39395
GCA_963930725.1	Candelabrum cocksii	264050
GCF_035149785.1	Candoia aspera	51853
GCA_034620425.1	Canis latrans	9614
GCF_003254725.2	Canis lupus dingo	286419
GCF_011100685.1	Canis lupus familiaris	9615
GCA_949152465.1	Cantharis flavilabris	877752
GCA_963170105.1	Cantharis lateralis	877886
GCA_958510845.1	Cantharis nigra	1553174
GCA_947369205.1	Cantharis rufa	350087
GCA_911387805.1	Cantharis rustica	195172
GCA_030062745.1	Capitulum mitella	41070
GCA_000978405.1	Capra aegagrus	9923
GCF_001704415.2	Capra hircus	9925
GCF_032405125.1	Capricornis sumatraensis	34865
GCA_907165065.1	Caprimulgus europaeus	111811
GCA_964291765.1	Carabus banonii	3023605
GCA_963422195.1	Carabus problematicus	49291
GCA_932526535.1	Caradrina clavipalpis	987895
GCA_947462355.1	Caradrina kadenii	987896
GCF_003368295.1	Carassius auratus	7957
GCF_963082965.1	Carassius carassius	217509
GCF_023724105.1	Carassius gibelio	101364
GCF_017639515.1	Carcharodon carcharias	13397
GCA_964261735.1	Carcharodus alceae	509358
GCA_910589575.2	Carcina quercana	116121
GCA_011833715.1	Carcinoscorpius rotundicauda	6848
GCA_019399895.2	Cardiocondyla obscurior	286306
GCF_023653815.1	Caretta caretta	8467
GCA_033958435.1	Carettochelys insculpta	44489
GCA_951230895.1	Carpatolechia fugitivella	687316
GCA_964026615.1	Carpetania matritensis	2837877
GCA_014607495.2	Carposina sasakii	252295
GCA_944567765.1	Carterocephalus palaemon	218720
GCA_963920755.1	Cartodere bifasciata	1587142
GCA_964304725.1	Cassiopea ornata	880217
GCA_964235115.1	Cassiopea xamachana	12993
GCA_963931975.1	Cataclysta lemnata	1594245
GCF_021464435.1	Cataglyphis hispanica	1086592
GCA_022496165.2	Catalaphyllia jardinei	46748
GCF_009819885.2	Catharus ustulatus	91951
GCA_930367265.1	Catocala fraxini	423510
GCA_963675205.1	Catocala nupta	423320
GCA_963564715.1	Catocala sponsa	753163
GCA_963556745.1	Catoptria pinella	1100938
GCA_964019065.1	Catostylus mosaicus	237413
GCA_041682505.1	Cavernularia obesa	1226274
GCA_905187575.2	Celastrina argiolus	203782
GCA_964237635.1	Celypha lacunana	1594247
GCA_951800055.1	Cenopis cana	2566676
GCF_030273125.1	Centropristis striata	184440
GCA_963921405.1	Cepaea hortensis	97200
GCA_964166675.1	Cepaea nemoralis	28835
GCA_043388385.1	Cephalopholis sonnerati	160708
GCA_963971525.1	Cephus spinipes	1001278
GCA_963576895.1	Ceraclea dissimilis	446427
GCA_963859965.1	Ceramica pisi	988087
GCA_963082945.1	Cerastis leucographa	997530
GCA_949152445.1	Cerastis rubricosa	988089
GCA_947846245.1	Cerastoderma edule	55710
GCA_963969495.1	Ceratothoa steindachneri	2922061
GCA_963989415.1	Cerceris ruficornis	2494881
GCA_910591515.1	Cerceris rybyensis	1167272
GCA_028627265.1	Cercopithecus mitis	36225
GCA_964270755.1	Cercyonis lycaon	3038947
GCA_963169105.1	Ceriagrion tenellum	638464
GCA_018697195.1	Certhia americana	186443
GCA_964276795.1	Cerura vinula	987900
GCF_019320065.1	Cervus canadensis	1574408
GCF_910594005.1	Cervus elaphus	9860
GCA_010411085.1	Cervus hanglu yarkandensis	84702
GCA_040085125.1	Cervus nippon	9863
GCA_949128085.1	Cetonia aurata	290679
GCA_964194155.1	Cetorhinus maximus	57982
GCA_917834065.1	Ceutorhynchus assimilis	467358
GCA_023974075.1	Chaenocephalus aceratus	36190
GCA_034401795.1	Chaetoderma sp. LZ-2023a	3077178
GCA_039877785.1	Chaetodon trifascialis	109706
GCA_032441825.1	Chaetogeoica ovagalla	2939601
GCA_964291345.1	Chaetopelma lymberakisi	3034272
GCA_949987625.1	Chalcis sispes	1118640
GCA_949716465.1	Chalcosyrphus nemorum	226170
GCA_043643385.1	Chamaeleo calyptratus	179908
GCA_036324585.1	Champsocephalus esox	159716
GCA_036324595.1	Champsocephalus gunnari	52237
GCF_033026475.1	Channa argus	215402
GCA_040939885.1	Channa asiatica	188929
GCA_020496755.1	Channa maculata	188791
GCA_033026295.1	Channa striata	64152
GCA_030522415.1	Channallabes apus	103215
GCF_024489055.1	Chanodichthys erythropterus	933992
GCF_902362185.1	Chanos chanos	29144
GCA_947361185.1	Charanyca ferruginea	987475
GCA_037577475.1	Chaunax sp. Z400	3119788
GCF_018320785.1	Cheilinus undulatus	241271
GCA_963082955.1	Cheilosia grossa	273442
GCA_948293265.1	Cheilosia impressa	273439
GCA_936431705.1	Cheilosia pagana	273407
GCA_955612985.1	Cheilosia scutellata	273429
GCA_949372485.1	Cheilosia soror	368781
GCA_946477585.1	Cheilosia urbana	173985
GCA_951230905.1	Cheilosia variabilis	273447
GCA_949126925.1	Cheilosia vernalis	423616
GCA_916610125.1	Cheilosia vulpina	273409
GCA_029853015.1	Chelidonichthys spinosus	450224
GCF_017976325.1	Chelmon rostratus	109905
GCA_963514085.1	Chelon labrosus	48171
GCF_015237465.2	Chelonia mydas	8469
GCA_028641665.1	Chelonus formosanus	2739011
GCF_026875155.1	Cherax quadricarinatus	27406
GCA_947359385.1	Chesias legatella	934925
GCA_024721215.1	Cheumatopsyche charites	1875285
GCA_964234795.1	Chiasmia clathrata	722671
GCA_902850365.2	Chilo suppressalis	168631
GCF_004010195.1	Chiloscyllium plagiosum	36176
GCF_950005125.1	Chionomys nivalis	269649
GCA_917627325.4	Chironomus riparius	315576
GCA_026123125.1	Chironomus striatipennis	1768614
GCA_963573255.1	Chironomus tentans	7153
GCF_009829145.1	Chiroxiphia lanceolata	296741
GCA_964264625.4	Chiton olivaceus	256108
GCA_932294275.1	Chloroclysta siterata	934828
GCA_963691955.1	Chloroclystis v-ata	190337
GCA_964017055.1	Chloromyia formosa	343672
GCA_020466095.1	Chlorops oryzae	1046848
GCF_015220235.1	Choloepus didactylus	27675
GCA_964020155.1	Chondrilla caribensis	1336846
GCA_947172415.1	Chondrosia reniformis	68574
GCA_949316135.1	Choreutis nemorana	1209621
GCA_963669355.1	Chorisops tibialis	2823186
GCA_025370935.1	Choristoneura fumiferana	7141
GCF_963924245.1	Chroicocephalus ridibundus	1192867
GCA_040805835.1	Chromidotilapia guntheri	762751
GCA_036326025.1	Chrosomus eos	42663
GCF_011386835.1	Chrysemys picta bellii	8478
GCA_038088585.1	Chrysina gloriosa	3098083
GCA_028533335.1	Chrysocyon brachyurus	68728
GCA_941860345.1	Chrysodeixis includens	689277
GCA_958502065.1	Chrysolina americana	75506
GCA_964197785.1	Chrysolina graminis	111401
GCA_958298965.1	Chrysolina haemoptera	75519
GCA_944452925.2	Chrysolina oricalcia	1587174
GCA_037305975.1	Chrysolophus pictus	9089
GCA_012295275.1	Chrysomallon squamiferum	216257
GCA_020423425.1	Chrysopa pallens	417485
GCF_905475395.1	Chrysoperla carnea	189513
GCA_964034945.1	Chrysopilus asiliformis	1822507
GCA_963971475.1	Chrysops caecutiens	1547359
GCA_964274935.1	Chrysops viduatus	798133
GCA_910589605.1	Chrysoteuchia culmella	1594250
GCA_911387755.1	Chrysotoxum bicinctum	323313
GCA_963931855.1	Chrysotoxum festivum	323314
GCA_030141595.1	Chydorus sphaericus	77745
GCA_949987675.1	Chymomyza fuscimana	1692350
GCA_964205205.1	Cicadella viridis	36150
GCA_034638445.1	Ciconia boyciana	52775
GCA_017639555.1	Ciconia maguari	52777
GCA_039619505.1	Cimex hemipterus	757355
GCF_963662255.1	Cinclus cinclus	127875
GCF_000224145.3	Ciona intestinalis	7719
GCA_033026305.1	Cirrhinus molitorella	172907
GCA_036247105.2	Cirrhinus mrigala	683832
GCA_937654795.1	Cistogaster globosa	1918221
GCA_963989345.1	Clangula hyemalis	197941
GCA_036417725.1	Clanis bilineata	215161
GCA_041682065.1	Clarias dussumieri	685904
GCA_030347435.1	Clarias fuscus	33541
GCF_024256425.1	Clarias gariepinus	13013
GCA_947623445.1	Clavelina lepadiformis	159417
GCA_963691665.1	Clepsis dumicolana	2561093
GCA_963930775.1	Cliona orientalis	281731
GCA_947507545.1	Clistopyga incitator	494138
GCA_040182645.1	Clitarchus hookeri	325643
GCA_963966155.1	Clivina fossor	795047
GCF_949628265.1	Cloeon dipterum	197152
GCA_003604175.2	Clonorchis sinensis	79923
GCA_905475355.2	Clostera curtula	987902
GCF_900700415.2	Clupea harengus	7950
GCA_920105625.2	Clusia tigrina	576317
GCA_014851415.1	Cnaphalocrocis medinalis	437488
GCA_964276465.1	Cnephasia stephensiana	1116892
GCF_907165205.1	Coccinella septempunctata	41139
GCA_964257065.1	Coccus hesperidum	538890
GCA_947623535.1	Coelioxys conoideus	2922063
GCA_017309665.1	Coelopa frigida	169498
GCA_947389925.1	Coelopa pilipes	169500
GCA_028534165.1	Coendou prehensilis	187985
GCA_032717465.2	Coenobita brevimanus	1547439
GCA_036785405.1	Coenonympha arcania	111894
GCA_964270855.1	Coenonympha darwiniana	2505772
GCA_964275305.1	Coenonympha dorus	111896
GCA_964258855.1	Coenonympha gardetta	554481
GCA_963855885.1	Coenonympha glycerion	242261
GCA_964304575.1	Coenonympha oedippus	554486
GCA_042479465.1	Coilia grayii	363190
GCA_027475355.1	Coilia nasus	365059
GCA_015227895.2	Colaptes auratus	51355
GCA_958295455.1	Coleophora deauratella	687026
GCA_947284805.1	Coleophora flavipennella	1100951
GCF_905220415.1	Colias croceus	72248
GCA_964258725.1	Colias hyale	78615
GCA_964258765.1	Colias palaeno	78620
GCA_964270545.1	Colias phicomone	78622
GCA_964275215.1	Colias thisoa	596544
GCF_028858725.1	Colius striatus	57412
GCA_004119915.2	Collichthys lucidus	240159
GCA_030247045.1	Colobus guereza	33548
GCA_013407035.1	Coloeus monedula	30423
GCF_033807715.1	Cololabis saira	129043
GCA_951394395.1	Colostygia pectinataria	934931
GCA_964332265.1	Colotis evagore	943180
GCA_964258875.1	Colotois pennaria	104470
GCA_038048745.1	Coluber constrictor foxii	3052055
GCF_036013475.1	Columba livia	8932
GCA_029237695.1	Conchocele bisecta	1803738
GCA_964258915.1	Condylactis gigantea	47073
GCF_963514075.1	Conger conger	82655
GCA_027627225.1	Congeria kusceri	152013
GCA_948150665.1	Conistra vaccinii	706635
GCA_031163375.1	Conogethes punctiferalis	1133088
GCA_948455865.1	Conomelus anceps	491269
GCA_949752815.1	Conops quadrifasciatus	2823188
GCA_033310375.1	Conus canariensis	2750724
GCA_018398815.1	Conus ventricosus	117992
GCA_964194025.1	Convolutriloba macropyga	536237
GCA_964265095.1	Corallium rubrum	142104
GCA_040436485.1	Corcyra cephalonica	139036
GCA_963682025.1	Cordilura impudica	1118052
GCA_030710605.1	Cordylochernes scorpioides	51811
GCA_039881085.1	Coregonus artedi	36181
GCF_020615455.1	Coregonus clupeaformis	59861
GCA_964263955.1	Coregonus lavaretus	59291
GCA_902810595.1	Coregonus sp. 'balchen'	861768
GCA_036851935.1	Coregonus suidteri	861788
GCA_031479575.1	Coregonus ussuriensis	340692
GCA_039654105.1	Coreius guichenoti	328532
GCA_963082875.1	Corella eumyota	431183
GCA_914767935.1	Coremacera marginata	1226616
GCA_011952105.1	Coreoperca whiteheadi	228250
GCA_964187895.1	Cornu aspersum	6535
GCA_032883995.1	Coronaproctus castanopsis	3041021
GCF_963422355.1	Corticium candelabrum	121492
GCF_000738735.6	Corvus cornix cornix	932674
GCF_020740725.1	Corvus hawaiiensis	134902
GCF_009650955.1	Corvus moneduloides	1196302
GCF_030265065.1	Corythoichthys intestinalis	161448
GCA_038030265.1	Corythucha ciliata	369451
GCA_946251885.1	Cosmia pyralina	987909
GCA_905163495.3	Cosmia trapezina	116126
GCA_963675405.1	Cosmorhoe ocellata	934934
GCF_020080835.1	Cotesia glomerata	32391
GCF_900634415.1	Cottoperca gobio	56716
GCA_023566465.1	Cottus gobio	100952
GCF_001577835.2	Coturnix japonica	93934
GCA_963924555.1	Crambe crambe	3722
GCA_949710035.1	Crambus lathoniellus	1100958
GCA_905163465.1	Craniophora ligustri	938226
GCA_023630585.1	Cranoglanis bouderius	175798
GCA_020458035.1	Crassostrea ariakensis	94323
GCA_015776775.1	Crassostrea hongkongensis	298176
GCA_033439105.1	Crassostrea nippona	121615
GCF_002022765.2	Crassostrea virginica	6565
GCA_949710015.1	Crataerina pallida	452744
GCA_949320105.2	Crepidodera aurea	346762
GCF_003668045.3	Cricetulus griseus	10029
GCA_964304595.1	Cricetus cricetus	10034
GCA_958507055.1	Crioceris asparagi	131627
GCA_917880715.2	Criorhina berberina	2663927
GCA_951813785.1	Criorhina ranunculi	1637456
GCA_907269065.1	Crocallis elinguaria	934829
GCA_013133815.1	Cromileptes altivelis	304459
GCA_963675795.1	Crossocerus cetratus	2494894
GCA_039797435.1	Crotalus adamanteus	8729
GCA_003400415.2	Crotalus viridis viridis	8742
GCA_946251905.1	Cryptocephalus moraei	204949
GCA_963576515.1	Cryptocephalus primarius	1587206
GCA_963556235.1	Cryptophagus acutangulus	1553241
GCA_028646485.1	Cryptoprocta ferox	94188
GCA_945261195.1	Cryptosula pallasiana	558755
GCA_963971235.1	Cryptus armator	494149
GCA_964006125.1	Cryptus viduatorius	273764
GCA_963989385.1	Ctena decussata	881212
GCA_958336395.1	Ctenicera cuprea	1132042
GCA_042257175.1	Ctenoides ales	220900
GCF_019924925.1	Ctenopharyngodon idella	7959
GCA_041146325.1	Ctenoplusia agnata	254370
GCF_017976375.1	Cuculus canorus	55661
GCA_964187845.1	Culex laticinctus	1464561
GCA_964213205.1	Culex modestus	545656
GCA_964243045.1	Culex perexiguus	943103
GCF_016801865.2	Culex pipiens pallens	42434
GCF_015732765.1	Culex quinquefasciatus	7176
GCF_036172545.1	Culicoides brevitarsis	469753
GCA_040182925.1	Culter alburnus	194366
GCA_964277285.1	Cupido argiades	596724
GCA_041222665.1	Cyamophila willieti	2604842
GCA_905187585.1	Cyaniris semiargus	988025
GCA_946251805.1	Cybosia mesomella	987918
GCA_963082685.1	Cyclophora albipunctata	505405
GCA_951394245.1	Cyclophora punctaria	310442
GCF_009769545.1	Cyclopterus lumpus	8103
GCA_030412105.1	Cyclura pinguis	118683
GCA_951394215.1	Cydalima perspectalis	1309588
GCF_948474715.1	Cydia amplana	1869771
GCF_963556715.1	Cydia fagiglandana	1458189
GCF_033807575.1	Cydia pomonella	82600
GCF_910591565.1	Cydia splendana	1100963
GCF_947568885.1	Cydia strobilella	1100964
GCF_013377495.2	Cygnus atratus	8868
GCF_009769625.2	Cygnus olor	8869
GCA_963942595.1	Cylloceria caligata	2881813
GCA_964277295.1	Cymbalophora pudica	1875022
GCA_030157275.1	Cynaeus angustus	1553252
GCF_027409185.1	Cynocephalus volans	110931
GCF_000523025.1	Cynoglossus semilaevis	244447
GCA_030015415.1	Cynopterus sphinx	9400
GCA_964194085.1	Cyphastrea salae	1967629
GCA_038021265.1	Cyprinella venusta	28792
GCA_030533445.1	Cyprinodon diabolis	69136
GCA_030533455.1	Cyprinodon nevadensis mionectes	69241
GCF_018340385.1	Cyprinus carpio	7962
GCA_019603395.1	Cyrtorhinus lividipennis	1032904
GCA_029465975.1	Dallia pectoralis	75939
GCF_033118175.1	Dama dama	30532
GCA_033118175.2	Dama dama	30532
GCF_018135715.1	Danaus plexippus	13037
GCF_903798145.1	Danio aesculapii	1142201
GCA_903798195.1	Danio kyathit	242068
GCF_000002035.6	Danio rerio	7955
GCF_022539665.2	Daphnia carinata	120202
GCA_030770115.1	Daphnia galeata	27404
GCF_020631705.1	Daphnia magna	35525
GCF_021134715.1	Daphnia pulex	6669
GCF_021234035.1	Daphnia pulicaria	35523
GCA_013167095.2	Daphnia sinensis	1820382
GCA_964036265.1	Daptonema setosum	320139
GCA_949768715.1	Dascillus cervinus	285223
GCA_024666655.1	Dascyllus trimaculatus	50790
GCA_028583605.1	Dastarcus helophoroides	1169899
GCA_963555695.1	Dasypolia templi	987919
GCF_030445035.1	Dasypus novemcinctus	9361
GCA_030445035.2	Dasypus novemcinctus	9361
GCA_946251815.1	Dasysyrphus albostriatus	414801
GCA_963921185.1	Dasysyrphus tricinctus	1244581
GCA_020854095.1	Dasyurus viverrinus	9279
GCA_030347415.2	Decapterus maruadsi	58220
GCA_949752805.1	Deilephila elpenor	283834
GCA_905220455.2	Deilephila porcellus	644661
GCA_021234595.1	Delia radicum	30064
GCF_949987515.2	Delphinus delphis	9728
GCA_964262855.1	Dendarus foraminosus	2712997
GCA_040113315.1	Dendroctonus frontalis	77161
GCA_964187815.1	Dendrogyra cylindrus	214965
GCA_039645545.1	Dendrolimus houi	765132
GCA_019925095.2	Dendrolimus kikuchii	765133
GCA_949752895.1	Dendrolimus pini	151304
GCA_012273795.1	Dendrolimus punctatus	238572
GCA_042997425.1	Dendrolimus tabulaeformis	416556
GCF_900700375.1	Denticeps clupeoides	299321
GCA_900700375.2	Denticeps clupeoides	299321
GCA_964205235.1	Denticollis linearis	333879
GCA_038994185.2	Dermacentor albipictus	60249
GCA_023375885.3	Dermacentor andersoni	34620
GCF_013339745.2	Dermacentor silvarum	543639
GCF_009764565.3	Dermochelys coriacea	27794
GCA_964271515.1	Deroceras lasithionense	3034287
GCA_030765065.1	Deroplatys truncata	627735
GCF_022682495.1	Desmodus rotundus	9430
GCA_022682495.2	Desmodus rotundus	9430
GCA_963924685.1	Dexiosoma caninum	1918232
GCA_918026665.1	Diabrotica balteata	107213
GCA_040954645.1	Diabrotica undecimpunctata	50387
GCF_917563875.1	Diabrotica virgifera virgifera	50390
GCA_964016965.1	Diacarnus erythraeanus	879318
GCF_034640455.1	Diachasmimorpha longicaudata	58733
GCA_932294365.1	Diachrysia chrysitis	179674
GCA_037043255.1	Diadegma fenestrale	310001
GCA_964275005.1	Diadema setosum	31175
GCA_918843875.1	Diadumene lineata	1789172
GCA_963583935.1	Diaperis boleti	433215
GCA_949125395.1	Diaphora mendica	987922
GCA_949774965.1	Diarsia brunnea	987923
GCA_949775195.1	Diarsia dahlii	1804828
GCA_949316265.1	Diarsia mendica	987924
GCA_932274075.1	Diarsia rubi	987925
GCA_918026875.4	Diatraea saccharalis	40085
GCF_020826845.1	Diceros bicornis minor	77932
GCA_963920525.1	Dichetophora obliterata	1226583
GCA_944474145.2	Dicrocoelium dendriticum	57078
GCA_964187775.1	Dictyocaulus viviparus	29172
GCA_948252095.1	Dicycla oo	1858094
GCA_949802685.1	Dicyrtomina minuta	1387116
GCA_019023105.1	Diglossa brunneiventris	547948
GCA_947459985.1	Diloba caeruleocephala	987926
GCA_958336335.1	Dilophus febrilis	52734
GCA_963920625.1	Dinocampus coccinellae	144245
GCA_963930735.1	Dioctria linearis	1717392
GCA_963924295.1	Dioctria rufipes	468723
GCA_963693315.1	Diogma glabrata	2715158
GCA_029229535.1	Diorhabda carinata	1163344
GCF_026250575.1	Diorhabda carinulata	1163345
GCA_026230145.1	Diorhabda elongata	217247
GCF_026230105.1	Diorhabda sublineata	1163346
GCA_963662125.1	Diplazon laetatorius	65311
GCA_963678695.2	Diplodus puntazzo	48915
GCA_964036155.1	Diploscapter coronatus	288516
GCA_963680785.1	Diplosoma virens	322858
GCF_021155765.1	Diprion similis	362088
GCA_041504395.1	Diptychus maculatus	263537
GCA_036346955.1	Dipus sagitta	73863
GCA_963555665.1	Dircenna loreta	1349872
GCA_027410445.1	Discoglossus pictus	8351
GCA_031216635.1	Dissostichus eleginoides	100907
GCA_963691745.1	Ditula angustiorana	572840
GCA_043789845.1	Ditylenchus destructor	166010
GCA_964059355.1	Diurnea fagella	753308
GCA_964258865.1	Diurnea lipsiella	1594279
GCA_964273575.1	Dolichomitus mesocentrus	2881873
GCA_963082915.1	Dolichopus griseipennis	327083
GCA_911387685.1	Dolichovespula media	881891
GCA_911387935.1	Dolichovespula saxonica	85443
GCA_918808275.2	Dolichovespula sylvestris	85444
GCA_907164885.2	Dolomedes plantarius	257759
GCA_964273945.1	Donax trunculus	40130
GCA_033060865.1	Dorcus hopei	618762
GCA_958336345.1	Dorcus parallelipipedus	41107
GCF_030265055.1	Doryrhamphus excisus	161450
GCA_043880285.1	Doryrhina cyclops	249021
GCA_023376005.1	Doryteuthis pealeii	1051067
GCF_020536995.1	Dreissena polymorpha	45954
GCA_945859725.1	Drepana falcataria	104428
GCA_948098885.1	Drepanosiphum platanoidis	527648
GCF_036370855.1	Dromaius novaehollandiae	8790
GCF_019393635.1	Dromiciops gliroides	33562
GCA_963989225.1	Dromius quadrimaculatus	346772
GCA_037356375.1	Drosophila affinis	7246
GCF_009650485.2	Drosophila albomicans	7291
GCA_030788265.1	Drosophila americana	40366
GCF_017639315.1	Drosophila ananassae	7217
GCA_008121215.1	Drosophila athabasca	7248
GCF_025231255.1	Drosophila biarmipes	125945
GCA_009664405.1	Drosophila bifasciata	7218
GCF_011750605.1	Drosophila busckii	30019
GCF_025200985.1	Drosophila gunungcola	103775
GCA_963969585.1	Drosophila helvetica	77129
GCA_958299025.2	Drosophila histrio	198718
GCA_963583835.1	Drosophila immigrans	7250
GCF_004354385.1	Drosophila innubila	198719
GCA_004354385.2	Drosophila innubila	198719
GCA_023558455.1	Drosophila kepulauana	88882
GCA_963924055.1	Drosophila limbata	42028
GCA_008121275.1	Drosophila lowei	7251
GCA_040893045.1	Drosophila madeirensis	30013
GCF_004382145.1	Drosophila mauritiana	7226
GCF_000001215.4	Drosophila melanogaster	7227
GCF_003369915.1	Drosophila miranda	7229
GCF_023558535.2	Drosophila nasuta	42062
GCA_024703675.1	Drosophila nebulosa	7271
GCA_023558445.1	Drosophila pallidifrons	88884
GCA_951394115.2	Drosophila phalerata	7283
GCF_009870125.1	Drosophila pseudoobscura	7237
GCF_016746245.2	Drosophila santomea	129105
GCF_004382195.2	Drosophila sechellia	7238
GCF_016746395.2	Drosophila simulans	7240
GCF_008121235.1	Drosophila subobscura	7241
GCF_014743375.2	Drosophila subpulchrella	1486046
GCF_023558435.1	Drosophila sulfurigaster albostrigata	89887
GCF_037355615.1	Drosophila suzukii	28584
GCF_016746235.2	Drosophila teissieri	7243
GCA_014170255.2	Drosophila triauraria	67534
GCF_018902025.1	Drosophila willistoni	7260
GCF_016746365.2	Drosophila yakuba	7245
GCA_019049465.1	Dryas iulia moderata	2752932
GCA_947859195.1	Drymonia ruficornis	988178
GCF_014839835.1	Dryobates pubescens	118200
GCA_947523025.1	Dryobota labecula	2964684
GCA_917490735.1	Dryobotodes eremita	988106
GCA_029891345.1	Dryococelus australis	614101
GCA_038277395.1	Dryocosmus kuriphilus	310278
GCA_951804985.1	Dryomyza anilis	169445
GCA_030035585.1	Dugong dugon	29137
GCA_964258685.1	Duncanopsammia axifuga	1479653
GCF_027744805.1	Dunckerocampus dactyliophorus	161453
GCA_964277135.1	Duponchelia fovealis	1970904
GCF_963678975.1	Dysidea avara	196820
GCA_949715965.1	Dysmachus trigonus	468725
GCA_963669185.1	Dyspetes luteomarginatus	1045598
GCA_964276565.1	Earophila badiata	1178261
GCA_949318235.1	Ecdyonurus torrentis	2014018
GCF_900963305.1	Echeneis naucrates	173247
GCA_900963305.2	Echeneis naucrates	173247
GCA_963691815.1	Echiichthys vipera	94984
GCA_964256745.1	Echinomermella matsi	944443
GCA_029962745.1	Echinometra lucunter	105361
GCA_964199735.1	Echinopora horrida	983564
GCA_932527185.1	Ecliptopera silaceata	104457
GCA_964023945.1	Ectemnius cavifrons	1518028
GCA_910591665.1	Ectemnius continuus	1126389
GCA_910593735.2	Ectemnius lituratus	2495015
GCA_964059185.1	Ectobius pallidus	406638
GCA_964235475.1	Ectoedemia decentella	1070333
GCA_963693475.1	Ectropis crepuscularia	572747
GCA_017562165.1	Ectropis grisescens	1530245
GCA_028627145.1	Eidolon dupreanum	58063
GCA_949126895.1	Eilema caniola	987929
GCA_914767945.1	Eilema depressum	987419
GCA_963662185.1	Eilema griseolum	987420
GCA_914829495.1	Eilema sororculum	987424
GCA_951216825.1	Electrona antarctica	206093
GCA_947095575.1	Electrophaes corylata	934936
GCF_013358815.1	Electrophorus electricus	8005
GCA_964023215.1	Eledona agricola	347340
GCA_964016885.1	Eledone cirrhosa	102876
GCA_947532085.1	Elegia similella	1101167
GCF_036324505.1	Eleginops maclovinus	56733
GCF_024166365.1	Elephas maximus indicus	99487
GCF_035609145.1	Eleutherodactylus coqui	57060
GCF_023053635.1	Elgaria multicarinata webbii	159646
GCA_947652605.1	Elmis aenea	186982
GCA_955850985.1	Elophila nymphaeata	753177
GCA_037101425.1	Elopichthys bambusa	238031
GCA_043644045.1	Elysia timida	154625
GCA_964291695.1	Emmelia trabealis	938230
GCA_916618145.1	Emmelina monodactyla	467774
GCA_963932195.1	Empis livida	178772
GCA_949752835.1	Empis stercorea	2484550
GCA_964267455.1	Empoasca decipiens	478132
GCF_028017835.1	Emys orbicularis	82168
GCA_038277355.1	Encarsia formosa	32400
GCA_041053325.1	Encarsia sophia	121815
GCA_958510875.1	Endomychus coccineus	295833
GCA_905163395.2	Endotricha flammealis	1101095
GCA_964306285.1	Endromis versicolora	119269
GCF_034702125.1	Engraulis encrasicolus	184585
GCA_040112795.1	Engraulis japonicus	42892
GCA_040894005.1	Engystomops pustulosus	76066
GCA_963580505.1	Ennomos erosarius	934814
GCA_905220475.3	Ennomos fuscantarius	722662
GCA_910589525.2	Ennomos quercinarius	875883
GCA_043640875.1	Enoplosus armatus	215367
GCF_033978785.1	Entelurus aequoreus	161455
GCA_029691765.1	Entomobrya proxima	1302324
GCA_014621495.2	Entosphenus tridentatus	245074
GCA_035773235.1	Eospalax fontanierii	146134
GCA_964235415.1	Epermenia chaerophyllella	1178097
GCA_018467065.1	Ephestia elutella	1373157
GCA_963970395.1	Ephialtes manifestator	65333
GCA_964261645.1	Ephydatia muelleri	6052
GCA_964291015.1	Epiblema costipunctana	1869850
GCA_963556455.1	Epiblema foenella	1100979
GCA_932526305.1	Epicampocera succincta	569040
GCA_035609425.1	Epinephelus awoara	152218
GCA_041684075.1	Epinephelus bruneus	323802
GCA_026686955.1	Epinephelus cyanopodus	308565
GCF_011397635.1	Epinephelus fuscoguttatus	293821
GCF_005281545.1	Epinephelus lanceolatus	310571
GCF_006386435.1	Epinephelus moara	300413
GCA_041411175.1	Epinephelus polyphekadion	241181
GCA_947049275.1	Epinotia bilunana	1594293
GCA_963854355.1	Epinotia brunnichana	2566568
GCA_945867215.1	Epinotia demarniana	1594294
GCA_932294315.1	Epinotia nisella	989769
GCA_947578815.1	Epinotia ramella	1594296
GCA_964204675.1	Epione repandaria	934834
GCA_964304675.1	Epiphyas postvittana	65032
